model,0,1,2,3,4,5,6,7,8,9,10,11
cnn3d_4_layer_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,15.746707963473073,18.210143681122435,11.816081926082308,3.307354392714005,142816.44041965727,154706.19185706915,150715.48600375484,101632.33782195658,134345.09772814202,133010.67575891895,145508.7598080225,98621.10699771924
cnn3d_4_layer_big/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,16.06823728727444,17.56642329491843,11.319239484759525,3.313364183484388,139057.33832200314,150423.907279011,148160.0745125644,99029.87538214028,130683.41411917316,131686.0019605663,142881.4194168766,96763.95324032949
cnn3d_4_layer_big_1_3/level=slgt_small/opt=Adam_lr=0.005_batch=32_crit=MSELoss,16.238291017359668,18.72827912903219,12.004329901520965,3.402478600533556,147361.65788565524,156419.7160591296,153486.05580714674,103331.90414037154,136016.72371246608,133481.0987398636,147738.93444042467,98568.34324460934
cnn3d_gelu_0_5/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,24.70292790187484,22.695984562597708,18.176520703798307,7.961063945990987,127868.86060020835,143973.42488027288,154403.8983471723,131360.45718201651,126206.51273908616,145589.0663573825,163634.86686062868,133646.6264122141
cnn3d_gelu_2_6/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,23.4665833735175,22.50444555360509,17.42627212141915,7.556320528094153,126395.24742622903,139076.97233987672,154218.39255602605,135384.47371809476,122272.19347449984,139955.44697597425,162770.1459917129,131238.3262295802
cnn3d_big_kernal/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,24.564575008100583,22.89356642159129,17.515141633520248,7.883280712539658,129497.58530965424,140605.1448015621,153521.54154639808,134089.35688590544,124354.3884854481,144564.24608543998,164205.80622038333,133198.9930488497
cnn3d_huge_kernal/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,23.99981657425055,22.821052221579603,17.52623637143733,7.733277028761667,128100.0504319668,139840.98681879614,157669.0863219319,134216.5779819818,122356.55518139317,144283.04488693015,165025.82921014362,132084.52992582094
cnn3d_3_layer/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,23.885477464496933,23.069621726094944,17.638382511411418,7.675111396898821,130201.81097200932,141281.26739518403,154134.70289514912,134567.07138236708,123534.20846293568,144394.8339570904,165701.72236763788,131495.74998707883
cnn3d_3_layer_big/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,23.979832150433733,23.330287747976296,17.656337054683714,7.786505915709735,130966.74310343212,142463.8994772335,155923.97910426327,133123.8656138039,123294.1099146195,144204.37600590778,163789.1685119483,132191.3308083313
cnn3d_fewer_channels/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,24.00465180649513,22.63074909643145,17.306958218573147,7.693309631009166,128165.84767050868,140156.61930853492,161305.58384834393,134887.44987572785,121530.01305019743,141567.39174130917,162676.81713003453,132043.59168289282
cnn3d_3_layer_fewer_channels/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,23.855527891638747,22.70179348710077,17.24014797208103,7.591182942048824,128293.91305777646,139421.2043020884,161504.53798993255,134574.2484488501,121704.72690308798,142645.61916141844,164612.1171106173,132423.97946411162
linear_regression/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,86.66061059968169,112.003333687689,62.08774484230079,21.62857280540511,582930.7382079832,702798.7093640047,496115.9250399914,580886.1858423239,601201.1097759585,682963.3931185137,848188.8923439281,407594.944587395
raw_outlook,33.45421265710691,25.206474908747296,19.176144976878128,8.992497280774062,129710.5087409126,145131.00536663938,181523.9685949064,135377.32339034905,122593.94230164046,141850.63711595576,163626.28991724664,132587.33190913335
predict_zero,25.22442032879013,22.685656684256365,17.337818041941247,7.950929804370788,128434.49484818746,141623.2370614622,166636.5437335578,134088.190013181,122266.2904870617,141462.4661726658,162528.38607142586,131829.12557876998
raw_outlook_slgt,27.077491477950847,20.219774942227637,12.787993982340868,4.289371942093046,139254.55942127926,155713.2554165749,166823.69517665042,101755.59964555108,131435.15459262067,148122.9075772069,145156.72027186918,96971.75422909444
predict_zero_slgt,20.658099598467704,17.67425519548852,11.584395615690871,4.002205289942583,139207.82056135085,154221.73758205416,160955.87809336785,101652.70809105258,130608.16572695381,146824.19843494997,145082.20959430118,96767.47736070007
